0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,-1,0
9,-1,0
10,-1,0
11,-1,0
12,-1,0
13,-1,0
14,-2,0
15,-2,0
16,-2,0
17,-2,0
18,-2,0
19,-2,0
20,-2,0
21,-2,0
22,-2,0
23,-2,0
24,-2,0
25,-2,0
26,-2,0
27,-2,0
28,-2,0
29,-2,0
30,-2,0
31,-2,0
32,-2,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,10,1
41,10,1
42,10,1
43,10,1
44,10,1
45,10,1
46,10,1
47,10,1
48,27,5
49,27,5
50,27,5
51,27,5
52,27,5
53,55,20
54,55,20
55,55,20
56,55,20
57,55,20
58,55,20
59,80,41
60,80,41
61,80,41
62,80,41
63,80,41
64,80,41
65,106,81
66,106,81
67,106,81
68,106,81
69,106,81
70,106,81
71,124,122
72,124,122
73,124,122
74,124,122
75,124,122
76,132,173
77,132,173
78,132,173
79,132,173
80,132,173
81,132,173
82,132,173
83,128,227
84,128,227
85,128,227
86,128,227
87,128,227
88,128,227
89,110,284
90,110,284
91,110,284
92,110,284
93,110,284
94,110,284
95,110,284
96,251,303
97,251,303
98,251,303
99,251,303
100,251,303
101,251,303
102,251,303
103,251,303
104,251,303
105,251,303
106,251,303
107,251,303
108,251,303
109,251,303
110,251,303
111,251,303
112,251,303
113,251,303
114,-44,300
115,-44,300
116,-44,300
117,-44,300
118,-44,300
119,-44,300
120,-44,300
121,-44,300
122,-57,269
123,-57,269
124,-57,269
125,-57,269
126,-57,269
127,-57,269
128,-57,269
129,251,303
130,251,303
131,251,303
132,251,303
133,251,303
134,251,303
135,-58,97
136,-58,97
137,-58,97
138,-58,97
139,-58,97
140,-58,97
141,-39,36
142,-39,36
143,-39,36
144,-39,36
145,-39,36
146,-39,36
147,-39,36
148,-39,36
